event_id,year_num,dest_office_id,dest_section_id,dest_norm_kyoku,dest_kyoku_group,dest_ka,dest_ka_group,dest_pos_norm,dest_occupation,dest_pos_rank,origin_office_id,chosen_distance,event_origin_id,staff_id,lag_norm_kyoku,lag_kyoku_group,lag_ka,lag_ka_group,lag_pos_norm,lag_pos_rank,lag_occupation,lag_is_female,lag_court_rank,lag_decor_rank,current_observed,current_drafted,current_office_id,current_section_id,current_pos_norm,current_occupation,current_pos_rank,first_year,own_tenure,exact_pos_match,lag_court_rank_ext,lag_decor_rank_ext,female,rank_gap,lag_posrank_x_dest_rank,chosen,event_id_diag,origin_office_id_diag,chosen_distance_diag,n_candidates,n_selected,n_exact_pos,usable,drop_reason,salary_raw,salary_num,has_salary,log_salary
evt_103,1944,1489,1489_grp_179,教育局,education,庶務課,179,主事補,non_engineer,2,1490,same_section,evt_103||1490,47700,教育局,education,教化課,179,Unknown,2,non_engineer,FALSE,NA,NA,1,FALSE,1393,1393_grp_133,係長,non_engineer,2,1929,15,0,0,0,0,0,4,0,evt_103,1490,same_section,4,1,0,TRUE,usable,NA,NA,0,NA
evt_103,1944,1489,1489_grp_179,教育局,education,庶務課,179,主事補,non_engineer,2,1490,same_section,evt_103||1490,10334,教育局,education,教化課,179,書記,2,non_engineer,FALSE,NA,NA,1,FALSE,1489,1489_grp_179,屬,non_engineer,2,1931,13,0,0,0,0,0,4,0,evt_103,1490,same_section,4,1,0,TRUE,usable,二,2,1,1.0986122886681098
evt_103,1944,1489,1489_grp_179,教育局,education,庶務課,179,主事補,non_engineer,2,1490,same_section,evt_103||1490,12065,教育局,education,教化課,179,書記,2,non_engineer,FALSE,NA,NA,1,FALSE,1489,1489_grp_179,主事補,non_engineer,2,1936,8,0,0,0,0,0,4,1,evt_103,1490,same_section,4,1,0,TRUE,usable,月一〇〇,100,1,4.61512051684126
evt_103,1944,1489,1489_grp_179,教育局,education,庶務課,179,主事補,non_engineer,2,1490,same_section,evt_103||1490,69132,教育局,education,教化課,179,書記,2,non_engineer,FALSE,NA,NA,1,FALSE,1489,1489_grp_179,屬,non_engineer,2,1936,8,0,0,0,0,0,4,0,evt_103,1490,same_section,4,1,0,TRUE,usable,NA,NA,0,NA
evt_103,1944,1489,1489_grp_179,教育局,education,庶務課,179,主事補,non_engineer,2,7029,different_department,evt_103||7029,110008,市会事務局,assembly,橋場,445,Unknown,2,non_engineer,FALSE,NA,NA,1,FALSE,1815,1815_grp_134,主事補,non_engineer,2,1928,16,0,0,0,0,0,4,0,evt_103,7029,different_department,2,1,0,TRUE,usable,月一六五,165,1,5.111987788356544
evt_103,1944,1489,1489_grp_179,教育局,education,庶務課,179,主事補,non_engineer,2,7029,different_department,evt_103||7029,117749,市会事務局,assembly,橋場,445,Unknown,2,non_engineer,FALSE,NA,NA,1,FALSE,1489,1489_grp_179,主事補,non_engineer,2,1928,16,0,0,0,0,0,4,1,evt_103,7029,different_department,2,1,0,TRUE,usable,NA,NA,0,NA
evt_104,1944,1489,1489_grp_179,教育局,education,庶務課,179,事務官,non_engineer,2,1130,same_department,evt_104||1130,61071,教育局,education,中等教育課,128,課長,2,non_engineer,FALSE,NA,NA,1,FALSE,2718,2718_name_健民課,課長書記官,non_engineer,2,1929,15,0,0,0,0,0,4,0,evt_104,1130,same_department,10,1,0,TRUE,usable,NA,NA,0,NA
evt_104,1944,1489,1489_grp_179,教育局,education,庶務課,179,事務官,non_engineer,2,1130,same_department,evt_104||1130,57825,教育局,education,中等教育課,128,Unknown,2,non_engineer,FALSE,NA,NA,1,FALSE,1834,1834_grp_179,係長,non_engineer,2,1933,11,0,0,0,0,0,4,0,evt_104,1130,same_department,10,1,0,TRUE,usable,NA,NA,0,NA
evt_104,1944,1489,1489_grp_179,教育局,education,庶務課,179,事務官,non_engineer,2,1130,same_department,evt_104||1130,15938,教育局,education,中等教育課,128,Unknown,2,non_engineer,FALSE,NA,NA,1,FALSE,1850,1850_name_missing,係長,non_engineer,2,1936,8,0,0,0,0,0,4,0,evt_104,1130,same_department,10,1,0,TRUE,usable,NA,NA,0,NA
evt_104,1944,1489,1489_grp_179,教育局,education,庶務課,179,事務官,non_engineer,2,1130,same_department,evt_104||1130,24379,教育局,education,中等教育課,128,Unknown,2,non_engineer,FALSE,NA,NA,1,FALSE,2195,2195_name_missing,事務官,non_engineer,2,1940,4,0,0,0,0,0,4,0,evt_104,1130,same_department,10,1,0,TRUE,usable,NA,NA,0,NA
