section_id_filled,office_id,year_num,ka,ka_group_filled,norm_kyoku_filled,kyoku_group_filled,n_drafted_male,transfers_in,new_hires,n_workers,slack_different_department,slack_same_department,slack_same_section,transfer_share,any_slack_same_section,log_slack_same_section,log_slack_same_department,log_slack_different_department,log_section_size
1098_name_三河島診療所,1098,1944,三河島診療所,NA,民生局,welfare,1,1,2,8,0,0,0,0.3333333333333333,0,0,0,0,2.1972245773362196
1102_name_下谷児童健康指導所,1102,1944,下谷児童健康指導所,NA,民生局,welfare,2,4,0,11,0,0,0,1,0,0,0,0,2.4849066497880004
1146_grp_181,1146,1944,経理課,181,交通局,transport,2,14,0,27,0,0,0,1,0,0,0,0,3.332204510175204
1153_grp_740,1153,1944,防火改修課,740,計晝局,NA,9,21,0,34,0,0,0,1,0,0,0,0,3.5553480614894135
1172_name_人事課,1172,1944,人事課,NA,長官官房,finance_admin,1,2,0,2,0,0,0,1,0,0,0,0,1.0986122886681098
1180_grp_12,1180,1944,商工課,12,経済局,economy,6,1,0,30,205,10,0,1,0,0,2.3978952727983707,5.327876168789581,3.4339872044851463
1182_grp_24,1182,1944,企画課,24,計晝局,NA,9,21,0,48,0,0,30,1,1,3.4339872044851463,0,0,3.8918202981106265
1188_name_missing,1188,1944,NA,NA,民生局,welfare,19,28,0,53,67,1,0,1,0,0,0.6931471805599453,4.219507705176107,3.9889840465642745
1189_name_missing,1189,1944,NA,NA,民生局,welfare,1,10,0,12,0,0,0,1,0,0,0,0,2.5649493574615367
1198_name_王子小児保健所,1198,1944,王子小児保健所,NA,民生局,welfare,1,13,0,38,0,0,0,1,0,0,0,0,3.6635616461296463
1215_name_共同住宅管理事務所,1215,1944,共同住宅管理事務所,NA,民生局,welfare,1,1,0,5,0,0,0,1,0,0,0,0,1.791759469228055
1231_name_missing,1231,1944,NA,NA,交通局,transport,12,28,0,62,0,0,0,1,0,0,0,0,4.143134726391533
1237_grp_1426,1237,1944,化学工業指導所,1426,経済局,economy,6,2,0,9,205,10,0,1,0,0,2.3978952727983707,5.327876168789581,2.302585092994046
1238_grp_846,1238,1944,資材課,846,経済局,economy,2,1,0,10,205,10,0,1,0,0,2.3978952727983707,5.327876168789581,2.3978952727983707
1277_name_厚生課,1277,1944,厚生課,NA,民生局,welfare,1,15,0,43,0,0,0,1,0,0,0,0,3.784189633918261
1306_grp_1322,1306,1944,品川機械工業指導所,1322,経済局,economy,7,5,0,17,0,0,0,1,0,0,0,0,2.8903717578961645
1393_grp_133,1393,1944,教育第一課,133,教育局,education,8,9,0,19,399,83,1,1,1,0.6931471805599453,4.430816798843313,5.991464547107982,2.995732273553991
1401_name_missing,1401,1944,NA,NA,教育局,education,1,6,0,25,0,0,0,1,0,0,0,0,3.258096538021482
1415_name_小石川児童健康指導所,1415,1944,小石川児童健康指導所,NA,民生局,welfare,1,2,0,5,0,0,0,1,0,0,0,0,1.791759469228055
1423_grp_564,1423,1944,尾久派出所,564,交通局,transport,3,5,0,5,0,0,0,1,0,0,0,0,1.791759469228055
1425_grp_679,1425,1944,林務課,679,経済局,economy,3,0,0,12,197,23,0,NA,0,0,3.1780538303479458,5.288267030694535,2.5649493574615367
1432_grp_14,1432,1944,港湾局工事課,14,港湾局,port,10,17,2,20,0,15,0,0.8947368421052632,0,0,2.772588722239781,0,3.044522437723423
1432_grp_6,1432,1944,河川課,6,計晝局,NA,4,7,0,9,0,0,3,1,1,1.3862943611198906,0,0,2.302585092994046
1432_grp_905,1432,1944,西部田田課,905,水道局,water,3,22,6,37,0,0,0,0.7857142857142857,0,0,0,0,3.6375861597263857
1448_grp_10,1448,1944,営繕課,10,計晝局,NA,12,13,16,40,0,0,7,0.4482758620689655,1,2.0794415416798357,0,0,3.713572066704308
1448_grp_598,1448,1944,下水課,598,水道局,water,1,9,10,24,0,0,0,0.47368421052631576,0,0,0,0,3.2188758248682006
1448_grp_753,1448,1944,庶務課,753,水道局,water,2,18,6,25,402,48,0,0.75,0,0,3.8918202981106265,5.998936561946683,3.258096538021482
1448_name_清掃課,1448,1944,清掃課,NA,民生局,welfare,2,14,3,21,0,0,0,0.8235294117647058,0,0,0,0,3.091042453358316
1448_name_監理課,1448,1944,監理課,NA,民生局,welfare,3,10,5,22,0,0,0,0.6666666666666666,0,0,0,0,3.1354942159291497
1476_grp_740,1476,1944,防火改修課,740,計晝局,NA,18,22,6,39,0,0,0,0.7857142857142857,0,0,0,0,3.6888794541139363
1476_name_missing,1476,1944,NA,NA,計晝局,NA,26,7,102,132,0,0,0,0.06422018348623854,0,0,0,0,4.890349128221754
1489_grp_179,1489,1944,庶務課,179,教育局,education,6,13,0,41,220,37,0,1,0,0,3.6375861597263857,5.3981627015177525,3.7376696182833684
1492_grp_825,1492,1944,教習所,825,交通局,transport,7,8,0,15,0,0,0,1,0,0,0,0,2.772588722239781
1514_name_文書課,1514,1944,文書課,NA,長官官房,finance_admin,1,8,0,15,0,0,0,1,0,0,0,0,2.772588722239781
1529_grp_24,1529,1944,企画課,24,計晝局,NA,27,35,0,71,0,0,0,1,0,0,0,0,4.276666119016055
1530_grp_24,1530,1944,企画課,24,計晝局,NA,3,14,0,26,0,0,0,1,0,0,0,0,3.295836866004329
1532_name_日暮里健康相談所,1532,1944,日暮里健康相談所,NA,民生局,welfare,2,1,0,6,5,0,0,1,0,0,0,1.791759469228055,1.9459101490553132
1539_name_日本橋小児保健所,1539,1944,日本橋小児保健所,NA,民生局,welfare,1,2,0,8,0,0,0,1,0,0,0,0,2.1972245773362196
1548_name_missing,1548,1944,NA,NA,長官官房,finance_admin,3,10,0,14,10,0,0,1,0,0,0,2.3978952727983707,2.70805020110221
1552_grp_4,1552,1944,交通局経理課,4,交通局,transport,1,12,0,21,171,50,5,1,1,1.791759469228055,3.9318256327243257,5.147494476813453,3.091042453358316
1552_grp_455,1552,1944,経理課,455,港湾局,port,8,10,0,19,0,0,0,1,0,0,0,0,2.995732273553991
1552_grp_61,1552,1944,水道局庶務課,61,水道局,water,13,17,0,48,0,0,0,1,0,0,0,0,3.8918202981106265
1557_grp_679,1557,1944,林務課,679,経済局,economy,1,4,0,22,0,0,0,1,0,0,0,0,3.1354942159291497
1564_grp_1243,1564,1944,本所機械工業指導所,1243,経済局,economy,1,1,0,7,0,0,0,1,0,0,0,0,2.0794415416798357
1572_name_本郷健康相談所,1572,1944,本郷健康相談所,NA,民生局,welfare,1,2,0,9,0,0,0,1,0,0,0,0,2.302585092994046
1588_name_東京都本所防疫所,1588,1944,東京都本所防疫所,NA,民生局,welfare,2,6,0,6,5,0,0,1,0,0,0,1.791759469228055,1.9459101490553132
1595_name_東京都荏原防疫所,1595,1944,東京都荏原防疫所,NA,民生局,welfare,1,5,0,8,0,0,0,1,0,0,0,0,2.1972245773362196
1621_grp_715,1621,1944,林産物検査所大島支所,715,経済局,economy,3,2,0,15,0,0,0,1,0,0,0,0,2.772588722239781
1622_grp_781,1622,1944,林産物検査所深川支所,781,経済局,economy,2,4,0,32,0,0,0,1,0,0,0,0,3.4965075614664802
1629_grp_1038,1629,1944,運輸課,1038,交通局,transport,4,9,0,9,171,55,0,1,0,0,4.02535169073515,5.147494476813453,2.302585092994046
1684_grp_131,1684,1944,淀橋出張所,131,水道局,water,1,4,3,12,0,0,0,0.5714285714285714,0,0,0,0,2.5649493574615367
1691_name_深川児童健康指導所,1691,1944,深川児童健康指導所,NA,民生局,welfare,2,4,0,11,0,0,0,1,0,0,0,0,2.4849066497880004
1692_grp_1045,1692,1944,深川出張所,1045,交通局,transport,2,8,0,10,0,0,0,1,0,0,0,0,2.3978952727983707
1701_grp_691,1701,1944,浅草出張所,691,交通局,transport,3,3,0,9,0,0,0,1,0,0,0,0,2.302585092994046
1748_name_熱海第二健民修錬所,1748,1944,熱海第二健民修錬所,NA,民生局,welfare,38,34,0,128,226,31,0,1,0,0,3.4657359027997265,5.424950017481403,4.859812404361672
1750_grp_10,1750,1944,営繕課,10,計晝局,NA,23,41,0,126,0,0,5,1,1,1.791759469228055,0,0,4.844187086458591
1751_grp_10,1751,1944,営繕課,10,計晝局,NA,20,17,0,56,0,0,7,1,1,2.0794415416798357,0,0,4.04305126783455
1759_grp_1470,1759,1944,合〓山垣島山場,1470,経済局,economy,2,4,0,29,0,0,0,1,0,0,0,0,3.4011973816621555
1774_name_王子小児保健所,1774,1944,王子小児保健所,NA,民生局,welfare,1,1,0,1,226,31,0,1,0,0,3.4657359027997265,5.424950017481403,0.6931471805599453
1781_name_missing,1781,1944,NA,NA,経済局,economy,3,12,0,28,0,0,0,1,0,0,0,0,3.367295829986474
1789_grp_61,1789,1944,水道局庶務課,61,水道局,water,1,4,0,14,0,0,0,1,0,0,0,0,2.70805020110221
1790_grp_24,1790,1944,企画課,24,計晝局,NA,2,38,0,64,0,0,30,1,1,3.4339872044851463,0,0,4.174387269895637
1793_name_振興課,1793,1944,振興課,NA,民生局,welfare,11,18,0,54,200,26,0,1,0,0,3.295836866004329,5.303304908059076,4.007333185232471
1797_grp_46,1797,1944,農務課,46,経済局,economy,14,8,0,62,205,7,3,1,1,1.3862943611198906,2.0794415416798357,5.327876168789581,4.143134726391533
1800_name_白山診療所,1800,1944,白山診療所,NA,民生局,welfare,1,7,0,16,0,0,0,1,0,0,0,0,2.833213344056216
1801_name_防疫課,1801,1944,防疫課,NA,民生局,welfare,2,4,0,14,226,31,0,1,0,0,3.4657359027997265,5.424950017481403,2.70805020110221
1804_name_missing,1804,1944,NA,NA,計晝局,NA,7,3,0,28,0,0,0,1,0,0,0,0,3.367295829986474
1813_grp_491,1813,1944,保線課,491,交通局,transport,8,12,0,20,0,0,0,1,0,0,0,0,3.044522437723423
1834_grp_179,1834,1944,庶務課,179,教育局,education,2,9,0,20,0,0,0,1,0,0,0,0,3.044522437723423
1841_name_神田児童健康指導所,1841,1944,神田児童健康指導所,NA,民生局,welfare,2,1,0,4,14,28,0,1,0,0,3.367295829986474,2.70805020110221,1.6094379124341003
1848_name_missing,1848,1944,NA,NA,長官官房,finance_admin,14,21,5,30,0,0,0,0.8076923076923077,0,0,0,0,3.4339872044851463
1851_name_人事課,1851,1944,人事課,NA,長官官房,finance_admin,3,9,0,31,257,0,0,1,0,0,0,5.552959584921617,3.4657359027997265
1859_name_立川健康相談所,1859,1944,立川健康相談所,NA,民生局,welfare,1,3,0,11,5,0,0,1,0,0,0,1.791759469228055,2.4849066497880004
1865_grp_1316,1865,1944,第一出張所,1316,水道局,water,2,8,0,14,0,0,0,1,0,0,0,0,2.70805020110221
1865_grp_565,1865,1944,第一出張所,565,計晝局,NA,1,4,0,6,0,0,0,1,0,0,0,0,1.9459101490553132
1873_grp_589,1873,1944,第七出張所,589,計晝局,NA,3,17,0,20,0,0,0,1,0,0,0,0,3.044522437723423
1874_grp_590,1874,1944,第三出張所,590,水道局,water,2,1,0,3,0,0,0,1,0,0,0,0,1.3862943611198906
1877_grp_577,1877,1944,第二出張所,577,水道局,water,2,10,0,17,0,0,0,1,0,0,0,0,2.8903717578961645
1891_grp_1325,1891,1944,第四出張所,1325,計晝局,NA,4,7,0,11,0,0,0,1,0,0,0,0,2.4849066497880004
1891_grp_530,1891,1944,第四出張所,530,水道局,water,13,12,0,27,0,0,0,1,0,0,0,0,3.332204510175204
1895_grp_1139,1895,1944,給水課,1139,水道局,water,9,12,0,39,0,0,0,1,0,0,0,0,3.6888794541139363
1895_grp_455,1895,1944,経理課,455,港湾局,port,4,8,0,13,0,0,0,1,0,0,0,0,2.6390573296152584
1895_grp_5,1895,1944,道路課,5,計晝局,NA,3,16,0,38,0,0,0,1,0,0,0,0,3.6635616461296463
1895_grp_6,1895,1944,河川課,6,計晝局,NA,6,5,0,19,0,0,0,1,0,0,0,0,2.995732273553991
1903_grp_180,1903,1944,食料課,180,経済局,economy,1,5,0,26,0,0,0,1,0,0,0,0,3.295836866004329
1905_grp_754,1905,1944,水道局業務課,754,水道局,water,7,13,0,30,0,0,0,1,0,0,0,0,3.4339872044851463
