event_id,year_num,dest_office_id,dest_section_id,dest_norm_kyoku,dest_kyoku_group,dest_ka,dest_ka_group,dest_pos_norm,dest_occupation,dest_pos_rank,chosen_origin_office_id,origin_office_id,chosen,distance_cat,origin_matched_workers,origin_max_prior_hiring,origin_kyoku_group,origin_ka_group,prewar_flow_count,prewar_tie,same_section,same_department,log_origin_matched_workers,log_origin_prior_hiring
evt_1004,1944,1188,1188_name_missing,民生局,welfare,NA,NA,監視,non_engineer,2,1190,1190,1,different_department,23,20,transport,74,NA,0,0,0,3.1780538303479458,3.044522437723423
evt_1004,1944,1188,1188_name_missing,民生局,welfare,NA,NA,監視,non_engineer,2,1190,1676,0,different_department,1,16,infrastructure,6,NA,0,0,0,0.6931471805599453,2.833213344056216
evt_1004,1944,1188,1188_name_missing,民生局,welfare,NA,NA,監視,non_engineer,2,1190,1896,0,same_department,1,1,welfare,39,NA,0,0,1,0.6931471805599453,0.6931471805599453
evt_1004,1944,1188,1188_name_missing,民生局,welfare,NA,NA,監視,non_engineer,2,1190,2056,0,different_department,26,15,transport,314,NA,0,0,0,3.295836866004329,2.772588722239781
evt_1004,1944,1188,1188_name_missing,民生局,welfare,NA,NA,監視,non_engineer,2,1190,6337,0,different_department,4,5,infrastructure,NA,NA,0,0,0,1.6094379124341003,1.791759469228055
evt_1004,1944,1188,1188_name_missing,民生局,welfare,NA,NA,監視,non_engineer,2,1190,7051,0,different_department,8,9,transport,NA,NA,0,0,0,2.1972245773362196,2.302585092994046
evt_1004,1944,1188,1188_name_missing,民生局,welfare,NA,NA,監視,non_engineer,2,1190,7525,0,different_department,5,5,transport,314,NA,0,0,0,1.791759469228055,1.791759469228055
evt_1005,1944,1188,1188_name_missing,民生局,welfare,NA,NA,監視,non_engineer,2,1190,1190,1,different_department,23,20,transport,74,NA,0,0,0,3.1780538303479458,3.044522437723423
evt_1005,1944,1188,1188_name_missing,民生局,welfare,NA,NA,監視,non_engineer,2,1190,1676,0,different_department,1,16,infrastructure,6,NA,0,0,0,0.6931471805599453,2.833213344056216
evt_1005,1944,1188,1188_name_missing,民生局,welfare,NA,NA,監視,non_engineer,2,1190,1896,0,same_department,1,1,welfare,39,NA,0,0,1,0.6931471805599453,0.6931471805599453
evt_1005,1944,1188,1188_name_missing,民生局,welfare,NA,NA,監視,non_engineer,2,1190,2056,0,different_department,26,15,transport,314,NA,0,0,0,3.295836866004329,2.772588722239781
evt_1005,1944,1188,1188_name_missing,民生局,welfare,NA,NA,監視,non_engineer,2,1190,6337,0,different_department,4,5,infrastructure,NA,NA,0,0,0,1.6094379124341003,1.791759469228055
