section_id,office_id,year_num,ka,ka_group,norm_kyoku,kyoku_group,n_drafted_male,transfers_in,transfers_same_section,transfers_same_department,transfers_different_department,new_hires,n_workers,slack_different_department,slack_same_department,slack_same_section,transfer_share,any_slack_same_section,any_slack_same_department,any_slack_different_department,log_slack_same_section,log_slack_same_department,log_slack_different_department,slack_same_section_per_draft,slack_same_department_per_draft,slack_different_department_per_draft,log_slack_same_section_per_draft,log_slack_same_department_per_draft,log_slack_different_department_per_draft,log_section_size
1935_grp_846,1935,1944,資材課,846,経済局,economy,3,1,0,1,0,0,10,215,10,0,1,0,1,1,0,2.3978952727983707,5.375278407684165,0,3.3333333333333335,71.66666666666667,0,1.4663370687934272,4.28588277412098,2.3978952727983707
1944_grp_133,1944,1944,教育第一課,133,教育局,education,5,6,0,4,2,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.295836866004329
1948_grp_303,1948,1941,職業補導所,303,府会事務局,assembly,3,1,0,0,0,4,35,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3.58351893845611
1962_grp_1356,1962,1944,交通局軍輛課保繰課,1356,交通局,transport,2,8,0,8,0,0,15,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.772588722239781
1963_grp_134,1963,1944,交通局運輸課,134,交通局,transport,8,15,5,9,1,0,31,172,98,4,1,1,1,1,1.6094379124341003,4.59511985013459,5.153291594497779,0.5,12.25,21.5,0.4054651081081644,2.583997552432231,3.1135153092103742,3.4657359027997265
1973_grp_1390,1973,1944,芝浦出張所,1390,交通局,transport,3,3,0,3,0,2,5,172,102,0,0.6,0,1,1,0,4.634728988229636,5.153291594497779,0,34,57.333333333333336,0,3.5553480614894135,4.0661736852554045,1.791759469228055
1985_grp_297,1985,1941,荏原診療所,297,府会事務局,assembly,5,1,0,0,0,1,14,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,2.70805020110221
2018_grp_1392,2018,1944,蒲田機械工業指導所,1392,経済局,economy,3,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.791759469228055
2035_grp_10,2035,1944,営繕課,10,計画局,infrastructure,15,25,0,22,3,0,43,202,22,5,1,1,1,1,1.791759469228055,3.1354942159291497,5.313205979041787,0.3333333333333333,1.4666666666666666,13.466666666666667,0.28768207245178085,0.9028677115420144,2.6718471524382497,3.784189633918261
2055_grp_47,2055,1944,都市計画課,47,計画局,infrastructure,3,9,8,0,0,0,18,37,3,0,1,0,1,1,0,1.3862943611198906,3.6375861597263857,0,1,12.333333333333334,0,0.6931471805599453,2.5902671654458267,2.9444389791664403
2055_grp_840,2055,1944,工専課,840,水道局,water,12,17,0,14,3,0,43,198,8,0,1,0,1,1,0,2.1972245773362196,5.293304824724492,0,0.6666666666666666,16.5,0,0.5108256237659906,2.8622008809294686,3.784189633918261
2055_name_missing,2055,1944,NA,NA,港湾局,port,9,26,0,23,3,0,62,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.143134726391533
2070_grp_839,2070,1944,調査室,839,経済局,economy,8,5,0,4,1,0,15,215,10,0,1,0,1,1,0,2.3978952727983707,5.375278407684165,0,1.25,26.875,0,0.8109302162163288,3.3277302297802827,2.772588722239781
2104_grp_24,2104,1944,企画課,24,計画局,infrastructure,7,5,3,0,1,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.995732273553991
2132_grp_232,2132,1941,農林産物検査所,232,府会事務局,assembly,2,0,0,0,0,0,14,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.70805020110221
2136_grp_265,2136,1941,農林産物検査所青梅出張所,265,府会事務局,assembly,5,0,0,0,0,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4965075614664802
2157_grp_1139,2157,1944,給水課,1139,水道局,water,6,10,0,9,1,0,20,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.044522437723423
2170_grp_1078,2170,1944,銀座出張所,1078,交通局,transport,3,4,0,4,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.4849066497880004
2189_grp_457,2189,1944,電気課,457,交通局,transport,5,13,0,13,0,0,25,174,55,0,1,0,1,1,0,4.02535169073515,5.1647859739235145,0,11,34.8,0,2.4849066497880004,3.5779478934066544,3.258096538021482
2191_grp_456,2191,1944,車輛課,456,交通局,transport,2,7,0,7,0,0,12,174,55,0,1,0,1,1,0,4.02535169073515,5.1647859739235145,0,27.5,87,0,3.349904087274605,4.477336814478207,2.5649493574615367
2195_name_missing,2195,1944,NA,NA,教育局,education,8,9,0,9,0,0,42,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.7612001156935624
2199_name_missing,2199,1944,NA,NA,経済局,economy,1,8,0,5,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.091042453358316
2202_name_食糧検査所,2202,1944,食糧検査所,NA,経済局,economy,1,1,0,0,1,0,18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.9444389791664403
2203_name_食糧検査所八王子支所,2203,1944,食糧検査所八王子支所,NA,経済局,economy,1,0,0,0,0,0,4,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1.6094379124341003
2204_grp_667,2204,1944,食糧検査所府中支所,667,経済局,economy,6,7,0,0,7,0,38,40,0,0,1,0,0,1,0,0,3.713572066704308,0,0,6.666666666666667,0,0,2.03688192726104,3.6635616461296463
2205_name_食糧検査所東京支所,2205,1944,食糧検査所東京支所,NA,経済局,economy,6,3,0,0,3,0,26,255,10,0,1,0,1,1,0,2.3978952727983707,5.545177444479562,0,1.6666666666666667,42.5,0,0.9808292530117263,3.7727609380946383,3.295836866004329
2206_name_食糧検査所青梅支所,2206,1944,食糧検査所青梅支所,NA,経済局,economy,1,1,0,0,1,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.70805020110221
2240_name_missing,2240,1941,NA,NA,府会事務局,assembly,6,42,0,0,0,0,51,2,0,0,1,0,0,1,0,0,1.0986122886681098,0,0,0.3333333333333333,0,0,0.28768207245178085,3.9512437185814275
2627_name_missing,2627,1944,NA,NA,交通局,transport,35,39,0,35,3,0,105,172,102,0,1,0,1,1,0,4.634728988229636,5.153291594497779,0,2.914285714285714,4.914285714285715,0,1.3646328643387111,1.7773707317759555,4.663439094112067
2768_grp_39,2768,1944,公園緑地課,39,計画局,infrastructure,4,13,10,0,3,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.295836866004329
2960_grp_288,2960,1941,南足立税務出張所,288,府会事務局,assembly,2,3,0,0,0,4,31,1384,3,0,0.42857142857142855,0,1,1,0,1.3862943611198906,7.233455418621439,0,1.5,692,0,0.9162907318741551,6.541029999189903,3.4657359027997265
3252_grp_279,3252,1941,佐室,279,府会事務局,assembly,3,9,0,0,0,0,10,0,0,7,1,1,0,0,2.0794415416798357,0,0,2.3333333333333335,0,0,1.2039728043259361,0,0,2.3978952727983707
3431_name_missing,3431,1941,NA,NA,府会事務局,assembly,10,2,0,0,0,4,42,1384,3,0,0.3333333333333333,0,1,1,0,1.3862943611198906,7.233455418621439,0,0.3,138.4,0,0.26236426446749106,4.937347498326424,3.7612001156935624
3442_name_missing,3442,1941,NA,NA,府会事務局,assembly,1,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.791759469228055
3448_grp_275,3448,1941,府立機械工養成所,275,府会事務局,assembly,4,1,0,0,0,0,23,1656,13,0,1,0,1,1,0,2.6390573296152584,7.4127640174265625,0,3.25,414,0,1.4469189829363254,6.028278520230698,3.1780538303479458
3449_grp_293,3449,1941,府立淀橋健康相談所,293,府会事務局,assembly,3,0,0,0,0,0,18,852,1,0,NA,0,1,1,0,0.6931471805599453,6.748759547491679,0,0.3333333333333333,284,0,0.28768207245178085,5.652489180268651,2.9444389791664403
3462_grp_279,3462,1941,佐室,279,府会事務局,assembly,3,1,0,0,0,4,40,0,0,7,0.2,1,0,0,2.0794415416798357,0,0,2.3333333333333335,0,0,1.2039728043259361,0,0,3.713572066704308
3465_grp_279,3465,1941,佐室,279,府会事務局,assembly,13,39,0,0,0,4,49,1384,3,7,0.9069767441860465,1,1,1,2.0794415416798357,1.3862943611198906,7.233455418621439,0.5384615384615384,0.23076923076923078,106.46153846153847,0.43078291609245417,0.20763936477824455,4.677133001795426,3.912023005428146
3466_grp_439,3466,1941,北室,439,府会事務局,assembly,5,2,0,0,1,4,24,1384,3,0,0.3333333333333333,0,1,1,0,1.3862943611198906,7.233455418621439,0,0.6,276.8,0,0.47000362924573563,5.626901430320244,3.2188758248682006
3467_grp_279,3467,1941,佐室,279,府会事務局,assembly,4,2,0,0,0,3,21,0,0,7,0.4,1,0,0,2.0794415416798357,0,0,1.75,0,0,1.0116009116784799,0,0,3.091042453358316
3470_grp_279,3470,1941,佐室,279,府会事務局,assembly,6,0,0,0,0,8,59,0,0,7,0,1,0,0,2.0794415416798357,0,0,1.1666666666666667,0,0,0.7731898882334819,0,0,4.0943445622221
3496_grp_279,3496,1941,佐室,279,府会事務局,assembly,2,34,34,0,0,1,37,2236,4,60,0.9714285714285714,1,1,1,4.110873864173311,1.6094379124341003,7.71289096149013,30,2,1118,3.4339872044851463,1.0986122886681098,7.020190708311925,3.6375861597263857
3497_grp_439,3497,1941,北室,439,府会事務局,assembly,2,48,0,0,0,10,79,0,0,0,0.8275862068965517,0,0,0,0,0,0,0,0,0,0,0,0,4.382026634673881
3509_grp_2,3509,1941,幹部機械工養成所,2,府会事務局,assembly,3,46,0,0,0,0,50,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.9318256327243257
3511_grp_2,3511,1941,幹部機械工養成所,2,府会事務局,assembly,1,11,0,0,0,0,20,852,1,0,1,0,1,1,0,0.6931471805599453,6.748759547491679,0,1,852,0,0.6931471805599453,6.748759547491679,3.044522437723423
3518_grp_2,3518,1944,庶務課,2,計画局,infrastructure,18,33,27,3,3,16,77,0,0,0,0.673469387755102,0,0,0,0,0,0,0,0,0,0,0,0,4.356708826689592
3862_grp_154,3862,1941,東京労働紹介所,154,府会事務局,assembly,1,0,0,0,0,0,7,0,0,44,NA,1,0,0,3.8066624897703196,0,0,44,0,0,3.8066624897703196,0,0,2.0794415416798357
3863_name_missing,3863,1941,NA,NA,府会事務局,assembly,1,0,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70805020110221
3876_name_missing,3876,1941,NA,NA,府会事務局,assembly,3,1,0,0,1,2,35,0,0,0,0.3333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,3.58351893845611
3881_name_missing,3881,1941,NA,NA,府会事務局,assembly,1,0,0,0,0,0,17,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.8903717578961645
3882_grp_213,3882,1941,所,213,府会事務局,assembly,3,0,0,0,0,7,43,0,0,75,0,1,0,0,4.330733340286331,0,0,25,0,0,3.258096538021482,0,0,3.784189633918261
3891_name_missing,3891,1941,NA,NA,府会事務局,assembly,7,0,0,0,0,0,11,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.4849066497880004
3896_name_missing,3896,1941,NA,NA,府会事務局,assembly,3,0,0,0,0,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.091042453358316
3899_name_missing,3899,1941,NA,NA,府会事務局,assembly,2,0,0,0,0,2,15,1384,3,0,0,0,1,1,0,1.3862943611198906,7.233455418621439,0,1.5,692,0,0.9162907318741551,6.541029999189903,2.772588722239781
3900_grp_213,3900,1941,所,213,府会事務局,assembly,3,2,0,0,1,2,35,0,0,78,0.5,1,0,0,4.3694478524670215,0,0,26,0,0,3.295836866004329,0,0,3.58351893845611
3901_name_missing,3901,1941,NA,NA,府会事務局,assembly,3,1,0,0,0,4,22,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,3.1354942159291497
3904_name_missing,3904,1941,NA,NA,府会事務局,assembly,1,2,0,0,0,0,36,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.6109179126442243
3906_name_missing,3906,1941,NA,NA,府会事務局,assembly,4,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5649493574615367
3912_name_missing,3912,1941,NA,NA,府会事務局,assembly,2,1,0,0,1,6,18,0,0,0,0.14285714285714285,0,0,0,0,0,0,0,0,0,0,0,0,2.9444389791664403
4621_grp_2,4621,1941,幹部機械工養成所,2,府会事務局,assembly,1,20,0,1,1,2,37,1313,3,71,0.9090909090909091,1,1,1,4.276666119016055,1.3862943611198906,7.1808311990445555,71,3,1313,4.276666119016055,1.3862943611198906,7.1808311990445555,3.6375861597263857
4633_name_missing,4633,1941,NA,NA,府会事務局,assembly,2,0,0,0,0,4,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.6375861597263857
4683_name_missing,4683,1941,NA,NA,府会事務局,assembly,1,2,0,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.995732273553991
4684_grp_870,4684,1941,第二河川出張所,870,府会事務局,assembly,1,1,0,0,0,0,10,852,1,0,1,0,1,1,0,0.6931471805599453,6.748759547491679,0,1,852,0,0.6931471805599453,6.748759547491679,2.3978952727983707
4832_name_missing,4832,1944,NA,NA,経済局,economy,11,12,0,9,3,0,46,198,23,0,1,0,1,1,0,3.1780538303479458,5.293304824724492,0,2.090909090909091,18,0,1.128465251817791,2.9444389791664403,3.8501476017100584
4990_grp_160,4990,1941,荏原税務出張所,160,府会事務局,assembly,1,75,64,0,1,5,105,1384,3,21,0.9375,1,1,1,3.091042453358316,1.3862943611198906,7.233455418621439,21,3,1384,3.091042453358316,1.3862943611198906,7.233455418621439,4.663439094112067
5192_grp_256,5192,1941,調布飛行場建設事務所,256,府会事務局,assembly,4,0,0,0,0,0,16,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,2.833213344056216
5578_grp_278,5578,1941,飯田橋税務出張所,278,府会事務局,assembly,2,0,0,0,0,2,32,1384,3,0,0,0,1,1,0,1.3862943611198906,7.233455418621439,0,1.5,692,0,0.9162907318741551,6.541029999189903,3.4965075614664802
5674_grp_218,5674,1941,調査課,218,府会事務局,assembly,1,1,0,0,1,1,39,0,0,1,0.5,1,0,0,0.6931471805599453,0,0,1,0,0,0.6931471805599453,0,0,3.6888794541139363
5711_grp_551,5711,1941,一分室,551,府会事務局,assembly,2,29,0,0,0,0,29,1384,3,0,1,0,1,1,0,1.3862943611198906,7.233455418621439,0,1.5,692,0,0.9162907318741551,6.541029999189903,3.4011973816621555
5762_name_missing,5762,1941,NA,NA,府会事務局,assembly,2,7,0,0,0,0,7,1384,3,0,1,0,1,1,0,1.3862943611198906,7.233455418621439,0,1.5,692,0,0.9162907318741551,6.541029999189903,2.0794415416798357
5852_grp_168,5852,1944,事務所,168,計画局,infrastructure,5,11,9,1,1,3,14,63,5,0,0.7857142857142857,0,1,1,0,1.791759469228055,4.1588830833596715,0,1,12.6,0,0.6931471805599453,2.6100697927420065,2.70805020110221
5865_grp_294,5865,1941,二西巣鴨診療所,294,府会事務局,assembly,1,3,0,0,0,1,15,1656,13,0,0.75,0,1,1,0,2.6390573296152584,7.4127640174265625,0,13,1656,0,2.6390573296152584,7.4127640174265625,2.772588722239781
5890_grp_450,5890,1944,交通局保線課,450,交通局,transport,7,12,0,11,1,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.091042453358316
5891_grp_1471,5891,1944,交通局保線課電気課,1471,交通局,transport,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.6931471805599453
5893_grp_4,5893,1944,交通局経理課,4,交通局,transport,24,57,34,19,2,0,166,346,138,19,1,1,1,1,2.995732273553991,4.9344739331306915,5.849324779946859,0.7916666666666666,5.75,14.416666666666666,0.5831462853456167,1.9095425048844386,2.7354491752903245,5.117993812416755
5894_grp_178,5894,1944,交通局経理課運輪課,178,交通局,transport,15,50,14,35,1,0,129,174,55,0,1,0,1,1,0,4.02535169073515,5.1647859739235145,0,3.6666666666666665,11.6,0,1.5404450409471488,2.533696813957432,4.867534450455582
5896_grp_895,5896,1944,交通局車輛課,895,交通局,transport,5,12,0,12,0,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.5263605246161616
5899_grp_878,5899,1944,交通局運輸課車輛課,878,交通局,transport,3,7,0,7,0,0,21,172,102,0,1,0,1,1,0,4.634728988229636,5.153291594497779,0,34,57.333333333333336,0,3.5553480614894135,4.0661736852554045,3.091042453358316
5900_grp_80,5900,1944,交通局電気課,80,交通局,transport,15,57,37,17,3,0,115,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4.7535901911063645
5901_name_交通局電気課水道局庶務課,5901,1944,交通局電気課水道局庶務課,NA,交通局,transport,13,9,0,9,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4657359027997265
5911_grp_471,5911,1941,京済運河建設事務所,471,府会事務局,assembly,2,24,0,0,0,0,36,1384,3,0,1,0,1,1,0,1.3862943611198906,7.233455418621439,0,1.5,692,0,0.9162907318741551,6.541029999189903,3.6109179126442243
5914_grp_464,5914,1941,人事課,464,府会事務局,assembly,1,27,0,0,0,0,28,1656,13,0,1,0,1,1,0,2.6390573296152584,7.4127640174265625,0,13,1656,0,2.6390573296152584,7.4127640174265625,3.367295829986474
6015_grp_39,6015,1944,公園緑地課,39,計画局,infrastructure,40,53,36,0,7,0,112,297,32,13,1,1,1,1,2.6390573296152584,3.4965075614664802,5.697093486505405,0.325,0.8,7.425,0.2814124594381855,0.5877866649021191,2.1312034762384253,4.727387818712341
6016_grp_1355,6016,1944,公園緑地課道路課,1355,計画局,infrastructure,1,0,0,0,0,0,2,247,27,0,NA,0,1,1,0,3.332204510175204,5.5134287461649825,0,27,247,0,3.332204510175204,5.5134287461649825,1.0986122886681098
6037_name_missing,6037,1941,NA,NA,府会事務局,assembly,2,12,0,0,0,0,17,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.8903717578961645
6089_grp_229,6089,1941,農林課,229,府会事務局,assembly,4,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1972245773362196
6098_name_missing,6098,1941,NA,NA,府会事務局,assembly,1,29,0,0,1,0,32,1384,3,0,1,0,1,1,0,1.3862943611198906,7.233455418621439,0,3,1384,0,1.3862943611198906,7.233455418621439,3.4965075614664802
6122_grp_284,6122,1941,八王子職業紹介所,284,府会事務局,assembly,1,7,7,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2.0794415416798357
6151_grp_1470,6151,1944,合〓山垣島山場,1470,経済局,economy,1,4,0,2,2,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.2188758248682006
6165_grp_283,6165,1941,吉野養魚場,283,府会事務局,assembly,7,0,0,0,0,2,21,1656,13,0,0,0,1,1,0,2.6390573296152584,7.4127640174265625,0,1.8571428571428572,236.57142857142858,0,1.0498221244986776,5.4704683301376145,3.091042453358316
6189_name_missing,6189,1941,NA,NA,府会事務局,assembly,1,26,0,0,0,0,31,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.4657359027997265
6197_grp_6,6197,1944,河川課,6,計画局,infrastructure,24,33,6,8,18,0,154,700,128,3,1,1,1,1,1.3862943611198906,4.859812404361672,6.55250788703459,0.125,5.333333333333333,29.166666666666668,0.11778303565638346,1.8458266904983307,3.4067375620377707,5.043425116919247
6212_grp_271,6212,1941,商務課,271,府会事務局,assembly,1,4,0,0,0,2,32,0,0,0,0.6666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,3.4965075614664802
6215_grp_12,6215,1944,商工課,12,経済局,economy,33,33,15,1,16,42,154,215,10,0,0.44,0,1,1,0,2.3978952727983707,5.375278407684165,0,0.30303030303030304,6.515151515151516,0,0.26469255422708216,2.016921184698502,5.043425116919247
6265_grp_238,6265,1941,地方課,238,府会事務局,assembly,2,0,0,0,0,0,49,1384,3,0,NA,0,1,1,0,1.3862943611198906,7.233455418621439,0,1.5,692,0,0.9162907318741551,6.541029999189903,3.912023005428146
6283_grp_162,6283,1941,社会課,162,府会事務局,assembly,2,0,0,0,0,0,19,1656,13,4,NA,1,1,1,1.6094379124341003,2.6390573296152584,7.4127640174265625,2,6.5,828,1.0986122886681098,2.0149030205422647,6.720220155135295,2.995732273553991
6311_grp_274,6311,1941,大島分所,274,府会事務局,assembly,2,10,0,0,0,0,21,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3.091042453358316
6365_name_missing,6365,1944,NA,NA,経済局,economy,5,19,0,0,19,0,32,215,10,0,1,0,1,1,0,2.3978952727983707,5.375278407684165,0,2,43,0,1.0986122886681098,3.784189633918261,3.4965075614664802
